1;Commune;Quartier;Chambre;Cuisine;Salon;Toilette int;Design;Prix
2;Lemba;echangeur;1;0;1;1;8;150
3;Lemba;terminus;3;1;1;0;7;340
4;Lemba;salongo;5;1;1;1;7;550
5;Ngaliema;mont fleury;3;1;1;1;7;300
6;Ngaliema;ma campagne;2;1;1;1;7;250
7;Lemba;salongo;2;1;1;0;6;200
8;Lemba;terminus;4;1;1;1;8.5;600
9;Kimbanseke;mokali;3;1;1;0;5;200
10;Kimbanseke;kingasani;2;1;1;1;5;120
11;Kimbanseke;kingasani;1;0;0;0;3;40
12;Ngaliema;ma campagne;2;0;1;1;5;120
13;Ngaliema;ma campagne;3;1;1;1;8;400
14;Ngaliema;mont fleury;1;0;0;0;7.5;110
15;Ngaliema;Anciens combatant;3;1;1;1;9;550
16;Lemba;echangeur;2;0;1;0;8;150
17;Lemba;salongo;2;1;1;0;6;150
18;Lemba;echangeur;2;1;1;1;6;150
19;Lemba;mandradele;3;1;1;1;7;250
20;Ngaliema;mont fleury;1;0;0;0;7;80
21;Lemba;salongo;3;1;1;1;8;350
22;Ngaliema;ma campagne;2;0;1;1;7;200
23;Kimbanseke;kingasani;4;1;1;1;6;300
24;Kimbanseke;mokali;4;1;1;1;8;450
25;Lemba;mandradele;1;0;0;0;6;70
26;Lemba;salongo;2;0;1;1;6;140
27;Ngaliema;mont fleury;5;1;1;1;9;1400
28;Ngaliema;ma campagne;5;1;1;1;9;2000
29;Ngaliema;Anciens combatant;4;1;1;1;9;1500
30;Kimbanseke;kingasani;2;1;1;1;7;150
31;Ngaliema;delvaux;1;1;1;1;9;200
32;Lemba;echangeur;2;1;1;1;8;280
33;Kimbanseke;mokali;3;1;1;1;8;350
34;Kimbanseke;revolution;5;1;1;1;8;500
35;Kimbanseke;mokali;1;0;0;1;5;60
36;Lemba;mandradele;1;0;1;0;7;90
37;Kimbanseke;kingasani;2;1;1;1;7;220
38;Kimbanseke;kingasani;3;1;1;1;7;300
39;Lemba;salongo;2;1;1;1;8;250
40;Lemba;echangeur;2;1;1;1;9;300
41;Ngaliema;Anciens combatant;3;1;1;1;8.5;600
42;Ngaliema;delvaux;2;1;1;1;9;380
43;Kimbanseke;revolution;2;0;1;0;6;100
44;Lemba;echangeur;4;1;1;1;7;550
45;Kimbanseke;kingasani;2;1;1;1;7;150
46;Ngaliema;ma campagne;1;1;1;1;6;150
47;Ngaliema;Anciens combatant;1;0;0;0;6;100
48;Kimbanseke;mikondo;3;1;1;1;8;250
49;Lemba;terminus;3;1;1;0;7;350
50;Ngaliema;ma campagne;1;1;1;1;7;150
51;Ngaliema;mont fleury;1;1;1;1;8;100
52;Ngaliema;mont fleury;2;1;1;1;8;250
53;Kimbanseke;mokali;3;1;1;1;7;250
